DEPARTMENT_NUMBER,FAMILY_NUMBER,FAMILY_NAME,CLASS_NUMBER,CLASS_NAME,SUB_CLASS_NUMBER,SUB_CLASS_NAME,VALID
001,001,BOOTS,001,BOOTS,003,RAINBOOTS,1
001,001,BOOTS,001,BOOTS,004,ANKLE BOOTS,1
001,001,BOOTS,001,BOOTS,005,CALF BOOTS,1
001,001,BOOTS,001,BOOTS,006,LONG BOOTS,1
001,001,BOOTS,001,BOOTS,007,SHOOTIES,1
001,001,BOOTS,001,BOOTS,,,1
001,002,SANDALS|THONGS,002,SANDALS,001,SANDALS,1
001,002,SANDALS|THONGS,002,SANDALS,002,SLIDES,1
001,002,SANDALS|THONGS,002,SANDALS,003,THONGS,1
001,002,SANDALS|THONGS,002,SANDALS,,,1
001,002,SANDALS|THONGS,004,BEACH,001,SANDALS,1
001,002,SANDALS|THONGS,004,BEACH,002,SLIDES,1
001,002,SANDALS|THONGS,004,BEACH,003,THONGS,1
001,002,SANDALS|THONGS,004,BEACH,,,1
001,003,SNEAKERS,001,SNEAKERS,004,CANVAS,1
001,003,SNEAKERS,001,SNEAKERS,005,SNEAKERS,1
001,003,SNEAKERS,001,SNEAKERS,,,1
001,004,FLATS,001,FLATS,006,MULES,1
001,004,FLATS,001,FLATS,007,ESPRADRILLE,1
001,004,FLATS,001,FLATS,008,SCHOOL SHOES,1
001,004,FLATS,001,FLATS,009,BALLET,1
001,004,FLATS,001,FLATS,010,SHOES,1
001,004,FLATS,001,FLATS,,,1
001,005,HEELS,001,HEELS,006,COURTS,1
001,005,HEELS,001,HEELS,007,CASUAL,1
001,005,HEELS,001,HEELS,008,DRESS,1
001,005,HEELS,001,HEELS,,,1
001,006,SLIPPERS,001,SLIPPERS,001,SLIPPERS|MOCASSINS,1
001,006,SLIPPERS,001,SLIPPERS,002,SCUFFS,1
001,006,SLIPPERS,001,SLIPPERS,003,BOOTS,1
001,006,SLIPPERS,001,SLIPPERS,004,MOCASSINS,1
001,006,SLIPPERS,001,SLIPPERS,,,1
001,,,,,,,0
002,002,KNITWEAR,001,KNITWEAR,001,VEST,1
002,002,KNITWEAR,001,KNITWEAR,002,S|S JUMPER,1
002,002,KNITWEAR,001,KNITWEAR,003,L|S JUMPER,1
002,002,KNITWEAR,001,KNITWEAR,004,S|S CARDIGAN,1
002,002,KNITWEAR,001,KNITWEAR,005,L|S CARDIGAN,1
002,002,KNITWEAR,001,KNITWEAR,006,S|S TUNIC,1
002,002,KNITWEAR,001,KNITWEAR,007,L|S TUNIC,1
002,002,KNITWEAR,001,KNITWEAR,,,1
002,003,SWIMWEAR,001,SWIMWEAR,001,ONE PIECE,1
002,003,SWIMWEAR,001,SWIMWEAR,002,SETS,1
002,003,SWIMWEAR,001,SWIMWEAR,003,SEPARATES TOPS,1
002,003,SWIMWEAR,001,SWIMWEAR,004,SEPARATES BOTTOMS,1
002,003,SWIMWEAR,001,SWIMWEAR,005,BOARDSHORTS,1
002,003,SWIMWEAR,001,SWIMWEAR,006,COVERUPS,1
002,003,SWIMWEAR,001,SWIMWEAR,,,1
002,004,JACKETS|COATS,001,JACKETS|COATS,001,JACKETS,1
002,004,JACKETS|COATS,001,JACKETS|COATS,002,COATS,1
002,004,JACKETS|COATS,001,JACKETS|COATS,003,VESTS,1
002,004,JACKETS|COATS,001,JACKETS|COATS,,,1
002,,,,,,,0
003,,,,,,,0
004,001,KNIT TOPS,001,LONG SLEEVE,001,BASIC,1
004,001,KNIT TOPS,001,LONG SLEEVE,002,FASHION,1
004,001,KNIT TOPS,001,LONG SLEEVE,003,LICENSED,1
004,001,KNIT TOPS,001,LONG SLEEVE,,,1
004,001,KNIT TOPS,002,SHORT SLEEVE,001,BASIC,1
004,001,KNIT TOPS,002,SHORT SLEEVE,002,FASHION,1
004,001,KNIT TOPS,002,SHORT SLEEVE,003,LICENSED,1
004,001,KNIT TOPS,002,SHORT SLEEVE,,,1
004,001,KNIT TOPS,003,SLEEVELESS,001,BASIC,1
004,001,KNIT TOPS,003,SLEEVELESS,002,FASHION,1
004,001,KNIT TOPS,003,SLEEVELESS,003,LICENSE,1
004,001,KNIT TOPS,003,SLEEVELESS,,,1
004,,,,,,,0
005,001,JEANS,001,JEANS,001,F|L DENIM,1
005,001,JEANS,001,JEANS,002,CROP DENIM,1
005,001,JEANS,001,JEANS,,,1
005,002,PANTS,001,WORK PANTS,001,F|L,1
005,002,PANTS,001,WORK PANTS,002,CROP,1
005,002,PANTS,001,WORK PANTS,,,1
005,002,PANTS,002,CASUAL PANTS,001,F|L,1
005,002,PANTS,002,CASUAL PANTS,002,CROP,1
005,002,PANTS,002,CASUAL PANTS,,,1
005,003,SKIRTS,001,SKIRTS,001,LONG,1
005,003,SKIRTS,001,SKIRTS,002,MID,1
005,003,SKIRTS,001,SKIRTS,003,SHORT,1
005,003,SKIRTS,001,SKIRTS,,,1
005,004,SHORTS,001,SHORTS,001,LONG,1
005,004,SHORTS,001,SHORTS,002,SHORT,1
005,004,SHORTS,001,SHORTS,,,1
005,005,LEGGINGS,001,LEGGINGS,001,CROP LEGGINGS,1
005,005,LEGGINGS,001,LEGGINGS,002,F|L LEGGINGS,1
005,005,LEGGINGS,001,LEGGINGS,,,1
005,,,,,,,0
006,001,TOPS,001,S|SLEEVE & S|LESS,001,KNIT TOPS,1
006,001,TOPS,001,S|SLEEVE & S|LESS,002,WOVEN TOPS,1
006,001,TOPS,001,S|SLEEVE & S|LESS,,,1
006,001,TOPS,002,LONG SLEEVE,001,KNIT TOPS,1
006,001,TOPS,002,LONG SLEEVE,002,WOVEN TOPS,1
006,001,TOPS,002,LONG SLEEVE,,,1
006,002,SEASONAL TOPS,001,SWEATS,001,HOODIES,1
006,002,SEASONAL TOPS,001,SWEATS,002,CREW,1
006,002,SEASONAL TOPS,001,SWEATS,,,1
