CHANNEL,DEPARTMENT,FAMILY,CLASS,SUBCLASS,SUBSUBCLASS,BASED ON ,EXCLUDED,INCLUDED,EFFECTIVE DATE,EXPIRY DATE
KHUB MINUS,033,,,,,DEPARTMENT,Y,,28/06/2021,03/12/2021
KHUB MINUS,020,,,,,DEPARTMENT,Y,,28/06/2021,03/12/2021
KHUB MINUS,085,,,,,DEPARTMENT,Y,,28/06/2021,03/12/2021
KHUB MINUS,023,,,,,DEPARTMENT,Y,,28/06/2021,03/12/2021
KHUB MINUS,024,,,,,DEPARTMENT,Y,,28/06/2021,21/09/2021
KHUB MINUS,022,,,,,DEPARTMENT,Y,,28/06/2021,03/12/2021
KHUB MINUS,032,,,,,DEPARTMENT,Y,,28/06/2021,03/12/2021
KHUB MINUS,057,,,,,DEPARTMENT,Y,,28/06/2021,21/09/2021
SMALL FLEET,006,006,001,,,CLASS,Y,,28/06/2021,31/12/9999
SMALL FLEET,026,005,001,,,CLASS,Y,,28/06/2021,31/12/9999
SMALL FLEET,034,001,007,,,CLASS,Y,,28/06/2021,31/12/9999
SMALL FLEET,007,003,001,,,CLASS,Y,,28/06/2021,31/12/9999
SMALL FLEET,012,001,005,,,CLASS,Y,,28/06/2021,31/12/9999
SMALL FLEET,012,002,001,,,CLASS,Y,,28/06/2021,31/12/9999
SMALL FLEET,013,001,001,,,CLASS,Y,,28/06/2021,31/12/9999
SMALL FLEET,001,005,001,,,CLASS,Y,,28/06/2021,31/12/9999
SMALL FLEET,020,004,001,,,CLASS,Y,,28/06/2021,31/12/9999
SMALL FLEET,020,012,001,,,CLASS,Y,,28/06/2021,31/12/9999
SMALL FLEET,020,013,001,,,CLASS,Y,,28/06/2021,31/12/9999
SMALL FLEET,020,001,001,,,CLASS,Y,,28/06/2021,31/12/9999
SMALL FLEET,020,015,001,,,CLASS,Y,,28/06/2021,31/12/9999
SMALL FLEET,020,003,001,,,CLASS,Y,,28/06/2021,31/12/9999
SMALL FLEET,020,014,001,,,CLASS,Y,,28/06/2021,31/12/9999
SMALL FLEET,020,006,001,,,CLASS,Y,,28/06/2021,31/12/9999
SMALL FLEET,020,002,001,,,CLASS,Y,,28/06/2021,31/12/9999
SMALL FLEET,036,002,003,,,CLASS,Y,,28/06/2021,31/12/9999
SMALL FLEET,085,005,001,,,CLASS,Y,,28/06/2021,31/12/9999
SMALL FLEET,048,002,001,,,CLASS,Y,,28/06/2021,31/12/9999
SMALL FLEET,055,001,001,,,CLASS,Y,,28/06/2021,31/12/9999
SMALL FLEET,055,001,002,,,CLASS,Y,,28/06/2021,31/12/9999
SMALL FLEET,055,001,003,,,CLASS,Y,,28/06/2021,31/12/9999
SMALL FLEET,055,003,001,,,CLASS,Y,,28/06/2021,31/12/9999
SMALL FLEET,064,003,001,,,CLASS,Y,,28/06/2021,31/12/9999
SMALL FLEET,064,004,001,,,CLASS,Y,,28/06/2021,31/12/9999
SMALL FLEET,065,003,001,,,CLASS,Y,,28/06/2021,31/12/9999
SMALL FLEET,076,005,001,,,CLASS,Y,,28/06/2021,31/12/9999
SMALL FLEET,077,001,001,,,CLASS,Y,,28/06/2021,31/12/9999
SMALL FLEET,077,001,002,,,CLASS,Y,,28/06/2021,31/12/9999
SMALL FLEET,077,001,003,,,CLASS,Y,,28/06/2021,31/12/9999
SMALL FLEET,077,001,004,,,CLASS,Y,,28/06/2021,31/12/9999
SMALL FLEET,077,001,005,,,CLASS,Y,,28/06/2021,31/12/9999
SMALL FLEET,077,002,005,,,CLASS,Y,,28/06/2021,31/12/9999
SMALL FLEET,078,001,001,,,CLASS,Y,,28/06/2021,31/12/9999
SMALL FLEET,078,002,001,,,CLASS,Y,,28/06/2021,31/12/9999
SMALL FLEET,078,003,001,,,CLASS,Y,,28/06/2021,31/12/9999
SMALL FLEET,078,003,002,,,CLASS,Y,,28/06/2021,31/12/9999
SMALL FLEET,078,004,001,,,CLASS,Y,,28/06/2021,31/12/9999
SMALL FLEET,084,001,001,,,CLASS,Y,,28/06/2021,31/12/9999
SMALL FLEET,084,002,001,,,CLASS,Y,,28/06/2021,31/12/9999
SMALL FLEET,017,004,001,,,CLASS,Y,,28/06/2021,31/12/9999
SMALL FLEET,025,001,001,,,CLASS,Y,,28/06/2021,31/12/9999
SMALL FLEET,025,001,002,,,CLASS,Y,,28/06/2021,31/12/9999
SMALL FLEET,025,002,001,,,CLASS,Y,,28/06/2021,31/12/9999
SMALL FLEET,025,003,001,,,CLASS,Y,,28/06/2021,31/12/9999
SMALL FLEET,044,001,002,,,CLASS,Y,,28/06/2021,31/12/9999
SMALL FLEET,044,001,006,,,CLASS,Y,,28/06/2021,31/12/9999
SMALL FLEET,023,002,001,,,CLASS,Y,,28/06/2021,31/12/9999
SMALL FLEET,023,003,001,,,CLASS,Y,,28/06/2021,31/12/9999
